path,lines,bytes,risk_score,static_mutable,update_methods,render,pathfinding,los_vision,lua_bridge,threads,network,moddata_save,zombie_char,cell_world,audio,animation,allocation_hot,sha256
zombie/network/GameServer.java,8554,413881,22077,338,0,16,5,13,61,48,5018,299,137,168,143,18,18,2adef36c5dad9ad1e51ed1b8ef6f4950203394f35332ea5377b286b99156894b
zombie/network/GameClient.java,6193,273629,13101,254,1,1,5,10,142,33,2544,199,246,166,125,3,15,deb53069ffe16ddd7e797e5e4e682110a4b1202847e116c496b6176fc92bff8f
zombie/vehicles/PolygonalMap2.java,8249,367834,9091,45,0,79,1751,47,4,57,5,20,52,294,0,0,11,ce50b8ae4f65bf3ae83b5b03a947dd2516e8a35d786c71bc5af649ea58f48916
zombie/characters/IsoGameCharacter.java,13803,514520,5790,18,3,311,60,59,74,10,185,43,546,99,203,700,35,ad70746d72ca726f3ca49c309a4e0e0aaf72088dd98fb48f457542d320332eb1
zombie/Lua/LuaManager.java,9102,344036,5552,574,0,136,86,13,324,34,379,155,134,127,134,43,8,6f6f0c38388dab18f1b413b73985e7333b51265aadae637d175fae1be4e2b1c0
zombie/network/PacketTypes.java,639,43299,5227,9,0,0,0,0,6,5,1290,24,0,4,16,0,0,7c814ed87d3f25f7dfb0fb796f429f7aaf29ce74908e27194f406b6abc66fa99
zombie/iso/IsoGridSquare.java,9245,379343,4999,56,0,218,73,180,25,6,181,392,110,470,22,14,11,858b31755db7b42633172bdc298e51c37d3c2349f78dce4c86539a7530f9aa22
zombie/iso/IsoCell.java,5128,221511,4584,27,1,379,8,76,30,9,36,68,110,540,1,4,48,1c9102404fe7f6c0564186deb41991c12b1feb00fa80fa799e58f786c064bfdf
zombie/vehicles/BaseVehicle.java,9391,397383,3679,21,1,330,23,10,48,4,190,74,149,181,419,190,26,6d21028e7c9e641c5c1b1629815bb7f19e26fa42335c4336619fd916a0426693
zombie/iso/IsoChunk.java,4473,197200,3323,30,1,3,25,6,5,75,92,52,22,611,41,3,11,a857029c775b5c2f29d56507a2b4098b6c6823e130d15ddceb0ab6136fa59a5c
zombie/vehicles/VehicleManager.java,1651,79941,2757,5,0,0,0,2,5,0,600,14,33,35,17,0,14,455a5a390005db3249227b420550ae1a9bc00b275a4c72f634c36cbd2e750bff
zombie/iso/WorldStreamer.java,1076,43871,2600,4,0,0,0,0,0,23,96,7,4,530,0,0,7,281004e7dfd93f4c192455bd4c4e53ba44b2d8c7854775c98fa5de35d7ed3628
zombie/characters/IsoPlayer.java,7661,316321,2531,35,1,16,75,49,27,20,153,35,154,91,107,112,17,2a5912f66689f39e8321049dabb2018c6d6c518fc56329130ed69ac41144efc9
zombie/iso/IsoObject.java,4547,175367,2434,32,1,226,2,19,20,2,190,354,54,126,66,84,10,d03cac80c6a2f13043be1cdce8d5cadeaced4355e6aa9d1b0167992497babac8
zombie/iso/IsoChunkMap.java,1166,46672,2428,13,1,8,0,0,0,22,11,4,16,551,0,0,8,35aae134e65b21b4546b265aa9eb8ce6dad6f2509ddaef700ae421004b7124dc
zombie/characters/IsoZombie.java,4626,193573,2050,5,1,62,82,23,8,0,87,20,182,33,156,165,4,b0619f41072f6cf665fa9ba05722c678fa8d271c744c16e4d169706f2c59986f
zombie/worldMap/WorldMapRenderer.java,2367,124323,2048,13,0,655,0,13,0,0,0,0,3,2,0,1,8,ddcf0e96eb677e9be2aaee27f747f2906c96e9f094dac4d1c7cf8ed04d1405cc
zombie/core/textures/Texture.java,1661,58880,1759,37,0,543,23,0,0,0,4,10,0,4,0,0,6,37c2b9fb0da1a499238d874ce2f9f3064408644a376003289340afe60c4399c2
zombie/core/SpriteRenderer.java,1324,51920,1758,5,0,564,3,0,0,4,0,0,0,10,0,0,2,8cbb3ef94fb20e441c814ae93c591865162c7a16c19c0d9b0d5abfea1e49d13a
zombie/iso/objects/IsoDoor.java,3143,127769,1691,18,0,91,7,22,22,9,118,99,48,104,64,0,15,1c73a4eb3c65ef7bf825e25ee0484a3d6ce2ff8eb28bcf57dd1cbac5a8526781
zombie/network/FakeClientManager.java,2599,111792,1599,66,2,0,1,5,0,21,355,6,0,21,32,0,4,2f5966b82ebb751746667fe1812bb6d7fc77a183a23b4443baa9035c488788f6
zombie/inventory/ItemContainer.java,3170,122622,1545,5,0,16,0,0,146,12,70,15,29,31,22,0,36,2afd1da9c553c93c664bab47e9cf412b776477c0f85643ad716e61252f50544f
zombie/iso/IsoWorld.java,2697,126148,1483,29,1,58,16,6,30,6,67,53,61,106,128,37,24,a8aeae5a4f8f95d7f21e9193c1c36d46d0eb20fa16c5200003afd21437f8e97c
zombie/gameStates/IngameState.java,1401,58835,1403,27,0,139,3,5,22,5,42,8,60,84,27,39,3,b61b13db2f5266f64968320d52ad58f9ab5b4fb7d770ad345503abed26673c4f
zombie/network/MPStatistic.java,1117,51188,1396,12,0,0,1,0,25,0,299,14,0,11,0,5,2,fd66ed18b97e2b28daa065f46486010f2221ea08e0990ff4c45be6ee28e75acf
zombie/network/PlayerDownloadServer.java,479,20900,1362,1,1,1,0,0,0,13,76,0,0,253,0,0,2,f4921fdff76b2e3c4c64de9c37f391da148c4282c26d0bc7b039c2a38a24fadd
zombie/gameStates/DebugChunkState.java,1276,59871,1340,5,0,126,20,21,26,4,3,38,17,132,5,4,5,c9736562fa76a6f90db54f379ebfa4eed1658c37ea07965181c274fcd37c6399
zombie/iso/objects/IsoThumpable.java,2471,88614,1324,0,1,13,1,31,28,27,111,90,48,55,78,0,2,39be538302cf5b308764a0faa6b0b5eeb3ad045e7da656b94bc30b66e113c58a
zombie/ai/states/SwipeStatePlayer.java,2266,104373,1302,9,0,3,4,44,9,0,23,4,169,25,58,49,10,143959e6b9657dc6951830e1972ec3cac3fbc9db0c3afb65f050abe05e631e6a
zombie/vehicles/PathFindBehavior2.java,1027,46755,1283,3,0,9,246,4,3,0,2,5,35,12,5,1,7,ce6c9435594443f33b0d824de674718c3c76a1602d9ba3b18de89bb62fe99936
se/krka/kahlua/vm/KahluaThread.java,1738,80587,1219,5,0,0,0,0,188,27,0,35,0,0,0,0,10,60fe3d47312e5659e2fbb3ff1dddc26ab536ddd02495f6904e46b5f05d2a2724
zombie/vehicles/UI3DScene.java,3661,174259,1202,22,0,345,0,21,12,0,0,2,0,0,0,202,11,d6c3011964cc8054acd93b2add48d49568a634fa2471b9574e3d0c3f9b0a9d90
zombie/ui/UIManager.java,1831,62962,1163,159,2,108,0,40,56,50,6,13,27,5,0,0,10,3b0a7c54f69f83d1d757da17d6492764225e1382698fed04d354f36300bb2176
zombie/core/Core.java,3847,157956,1134,123,0,255,3,0,35,14,9,13,11,0,54,10,14,6cbc9e920f017abfcf13f0b19eeec8216cb4170e30e2e072f48d5b75e72ce298
zombie/core/sprite/GenericSpriteRenderState.java,949,31485,1119,1,0,371,0,1,0,0,0,0,0,0,0,0,2,f088d22442c810082526bb32e3af2fdb3b0e7eaefb8ffe5c87837e56a2cd3775
zombie/inventory/ItemPickerJava.java,1101,51269,1111,35,0,0,0,0,151,0,8,137,11,28,0,0,6,959b7b13e45ab20e335405d6ff5a0db550394a1b9d75a0814a2ea5258b0ecb3f
zombie/ui/TextDrawObject.java,1092,41297,1076,4,0,330,0,5,0,15,2,0,2,0,0,0,3,ed32a9ac034c7e5749a873a1f4e60a6d3a448153f8d164140e71a59a3425ae1e
zombie/iso/ObjectsSyncRequests.java,549,23716,1071,1,0,0,0,0,5,11,112,52,0,139,0,0,4,48eca97625d1b4fc668148f159992e5cf2f0de8dd8b01f63edfe31ffbbf2818a
zombie/core/skinnedmodel/model/ModelInstanceTextureCreator.java,654,29988,1058,2,0,328,0,13,0,0,0,0,2,0,0,0,12,3b67d405b717c7a62986302c5eaf70cd7a9aa9e4ac4cc1ddabbcebdec68f2317
zombie/core/skinnedmodel/DeadBodyAtlas.java,1308,55742,1051,2,6,319,0,0,0,0,0,4,7,9,0,69,11,d1279df6c4596ead90508699f2463a30f1a82219f41d31af8530408eaaa9ad1b
zombie/iso/objects/IsoWindow.java,1587,58915,1031,10,0,3,4,8,7,4,92,59,55,68,25,4,5,18c064775b54ed24351269813bf469dead7bd186d4f71fa6022a316f20377a91
zombie/core/textures/TextureDraw.java,1012,30602,1013,47,0,335,0,0,0,0,0,0,0,2,0,0,0,0626798cbe62714cf2d16426440e01758cce5866f29706aa4fc2ff4c46c335e0
zombie/ui/UIElement.java,1887,71534,1002,2,1,208,0,42,34,0,0,5,0,0,0,0,4,5383d5ba9ad06ebaca45656467bcdb2fae130c08ff41ba00fd089cd3ea06283e
zombie/iso/weather/ClimateManager.java,3103,116876,999,39,1,3,0,0,18,0,184,27,17,14,0,0,3,7210e38048a7b80e4f19164db8ac110550285cd973f4c8aa0492784f09ec071d
zombie/network/ServerChunkLoader.java,657,26519,932,0,1,0,0,0,0,21,2,13,0,214,0,0,3,682abfbe0f2e2b43126524a8856b6a301b48ff03ba17184e11c279871052c13f
zombie/iso/areas/isoregion/IsoRegionWorker.java,531,23372,932,1,1,0,0,0,0,30,64,2,0,145,0,0,4,b911f61ffebd0ca26b26a91b70fecf90d8d58b09834da5010313b275f2743afc
